Category: All categories

Week,Energy: (Portugal),Footwear: (Portugal)
2018-01-07,83,8
2018-01-14,85,6
2018-01-21,87,6
2018-01-28,79,5
2018-02-04,75,4
2018-02-11,73,5
2018-02-18,83,5
2018-02-25,82,6
2018-03-04,80,4
2018-03-11,94,5
2018-03-18,87,7
2018-03-25,84,6
2018-04-01,84,6
2018-04-08,82,3
2018-04-15,90,7
2018-04-22,90,6
2018-04-29,85,5
2018-05-06,79,4
2018-05-13,83,4
2018-05-20,94,4
2018-05-27,80,4
2018-06-03,100,8
2018-06-10,84,6
2018-06-17,67,4
2018-06-24,58,4
2018-07-01,57,3
2018-07-08,54,3
2018-07-15,58,5
2018-07-22,59,2
2018-07-29,57,4
2018-08-05,50,5
2018-08-12,51,3
2018-08-19,57,3
2018-08-26,55,4
2018-09-02,61,4
2018-09-09,56,4
2018-09-16,59,4
2018-09-23,79,2
2018-09-30,69,5
2018-10-07,91,7
2018-10-14,74,8
2018-10-21,77,6
2018-10-28,70,6
2018-11-04,75,4
2018-11-11,78,3
2018-11-18,77,9
2018-11-25,85,6
2018-12-02,81,4
2018-12-09,70,7
2018-12-16,61,2
2018-12-23,50,6
2018-12-30,65,3
