Category: All categories

Week,Television: (Portugal)
2011-01-02,53
2011-01-09,59
2011-01-16,64
2011-01-23,55
2011-01-30,71
2011-02-06,59
2011-02-13,68
2011-02-20,72
2011-02-27,60
2011-03-06,79
2011-03-13,68
2011-03-20,56
2011-03-27,46
2011-04-03,71
2011-04-10,62
2011-04-17,100
2011-04-24,63
2011-05-01,58
2011-05-08,51
2011-05-15,45
2011-05-22,41
2011-05-29,45
2011-06-05,38
2011-06-12,37
2011-06-19,39
2011-06-26,37
2011-07-03,45
2011-07-10,54
2011-07-17,55
2011-07-24,50
2011-07-31,59
2011-08-07,51
2011-08-14,85
2011-08-21,57
2011-08-28,54
2011-09-04,59
2011-09-11,69
2011-09-18,82
2011-09-25,71
2011-10-02,62
2011-10-09,56
2011-10-16,64
2011-10-23,58
2011-10-30,79
2011-11-06,66
2011-11-13,53
2011-11-20,78
2011-11-27,57
2011-12-04,68
2011-12-11,57
2011-12-18,52
2011-12-25,47
