Category: All categories

Week,Energy: (Portugal),T-shirt: (Portugal)
2017-01-01,62,53
2017-01-08,86,53
2017-01-15,94,64
2017-01-22,82,56
2017-01-29,79,51
2017-02-05,81,60
2017-02-12,78,58
2017-02-19,81,52
2017-02-26,78,56
2017-03-05,86,68
2017-03-12,87,67
2017-03-19,80,52
2017-03-26,89,61
2017-04-02,67,67
2017-04-09,66,65
2017-04-16,67,70
2017-04-23,77,77
2017-04-30,84,67
2017-05-07,87,77
2017-05-14,86,83
2017-05-21,86,73
2017-05-28,100,89
2017-06-04,91,76
2017-06-11,79,92
2017-06-18,58,69
2017-06-25,60,91
2017-07-02,65,79
2017-07-09,58,75
2017-07-16,62,74
2017-07-23,51,79
2017-07-30,53,87
2017-08-06,48,79
2017-08-13,46,83
2017-08-20,52,78
2017-08-27,53,76
2017-09-03,52,68
2017-09-10,55,66
2017-09-17,61,69
2017-09-24,62,66
2017-10-01,60,64
2017-10-08,69,71
2017-10-15,73,67
2017-10-22,67,67
2017-10-29,66,64
2017-11-05,70,76
2017-11-12,87,73
2017-11-19,67,68
2017-11-26,74,71
2017-12-03,70,95
2017-12-10,75,87
2017-12-17,57,82
2017-12-24,67,62
2017-12-31,78,55
