Category: All categories

Week,Fur: (Portugal)
2014-01-05,34
2014-01-12,40
2014-01-19,63
2014-01-26,67
2014-02-02,46
2014-02-09,39
2014-02-16,45
2014-02-23,37
2014-03-02,25
2014-03-09,58
2014-03-16,42
2014-03-23,18
2014-03-30,38
2014-04-06,11
2014-04-13,37
2014-04-20,41
2014-04-27,57
2014-05-04,33
2014-05-11,44
2014-05-18,48
2014-05-25,69
2014-06-01,80
2014-06-08,25
2014-06-15,44
2014-06-22,30
2014-06-29,50
2014-07-06,57
2014-07-13,16
2014-07-20,56
2014-07-27,80
2014-08-03,55
2014-08-10,30
2014-08-17,29
2014-08-24,63
2014-08-31,69
2014-09-07,13
2014-09-14,42
2014-09-21,48
2014-09-28,86
2014-10-05,68
2014-10-12,88
2014-10-19,61
2014-10-26,55
2014-11-02,100
2014-11-09,99
2014-11-16,65
2014-11-23,59
2014-11-30,54
2014-12-07,92
2014-12-14,70
2014-12-21,83
2014-12-28,46
