Category: All categories

Week,Auto insurance: (Portugal)
2016-01-03,42
2016-01-10,18
2016-01-17,16
2016-01-24,30
2016-01-31,0
2016-02-07,50
2016-02-14,0
2016-02-21,60
2016-02-28,17
2016-03-06,100
2016-03-13,63
2016-03-20,50
2016-03-27,39
2016-04-03,50
2016-04-10,19
2016-04-17,28
2016-04-24,47
2016-05-01,17
2016-05-08,60
2016-05-15,28
2016-05-22,49
2016-05-29,0
2016-06-05,44
2016-06-12,0
2016-06-19,65
2016-06-26,0
2016-07-03,0
2016-07-10,27
2016-07-17,0
2016-07-24,0
2016-07-31,49
2016-08-07,50
2016-08-14,35
2016-08-21,24
2016-08-28,31
2016-09-04,48
2016-09-11,23
2016-09-18,46
2016-09-25,24
2016-10-02,38
2016-10-09,0
2016-10-16,40
2016-10-23,30
2016-10-30,20
2016-11-06,0
2016-11-13,17
2016-11-20,0
2016-11-27,0
2016-12-04,37
2016-12-11,0
2016-12-18,0
2016-12-25,79
2017-01-01,30
2017-01-08,30
2017-01-15,0
2017-01-22,0
2017-01-29,32
2017-02-05,18
2017-02-12,0
2017-02-19,49
2017-02-26,0
2017-03-05,20
2017-03-12,30
2017-03-19,0
2017-03-26,45
2017-04-02,51
2017-04-09,36
2017-04-16,24
2017-04-23,24
2017-04-30,41
2017-05-07,25
2017-05-14,33
2017-05-21,23
2017-05-28,0
2017-06-04,38
2017-06-11,72
2017-06-18,0
2017-06-25,60
2017-07-02,76
2017-07-09,36
2017-07-16,35
2017-07-23,56
2017-07-30,0
2017-08-06,42
2017-08-13,65
2017-08-20,36
2017-08-27,0
2017-09-03,22
2017-09-10,30
2017-09-17,19
2017-09-24,52
2017-10-01,48
2017-10-08,30
2017-10-15,21
2017-10-22,0
2017-10-29,37
2017-11-05,37
2017-11-12,35
2017-11-19,41
2017-11-26,38
2017-12-03,26
2017-12-10,28
2017-12-17,0
2017-12-24,35
2017-12-31,0
