Category: All categories

Week,Shoes: (Portugal)
2010-01-03,59
2010-01-10,61
2010-01-17,54
2010-01-24,55
2010-01-31,54
2010-02-07,50
2010-02-14,56
2010-02-21,63
2010-02-28,64
2010-03-07,66
2010-03-14,61
2010-03-21,71
2010-03-28,67
2010-04-04,72
2010-04-11,72
2010-04-18,58
2010-04-25,67
2010-05-02,78
2010-05-09,77
2010-05-16,70
2010-05-23,78
2010-05-30,100
2010-06-06,73
2010-06-13,64
2010-06-20,70
2010-06-27,57
2010-07-04,56
2010-07-11,64
2010-07-18,62
2010-07-25,57
2010-08-01,65
2010-08-08,58
2010-08-15,65
2010-08-22,71
2010-08-29,69
2010-09-05,77
2010-09-12,65
2010-09-19,72
2010-09-26,78
2010-10-03,87
2010-10-10,80
2010-10-17,79
2010-10-24,76
2010-10-31,72
2010-11-07,82
2010-11-14,62
2010-11-21,70
2010-11-28,62
2010-12-05,69
2010-12-12,64
2010-12-19,54
2010-12-26,59
