Category: All categories

Week,Energy: (Portugal),Vitamin: (Portugal)
2018-01-07,83,49
2018-01-14,83,46
2018-01-21,84,49
2018-01-28,76,50
2018-02-04,73,45
2018-02-11,70,41
2018-02-18,81,47
2018-02-25,79,46
2018-03-04,82,44
2018-03-11,91,48
2018-03-18,83,53
2018-03-25,83,41
2018-04-01,82,41
2018-04-08,81,44
2018-04-15,87,41
2018-04-22,85,41
2018-04-29,87,38
2018-05-06,78,41
2018-05-13,79,44
2018-05-20,93,44
2018-05-27,78,44
2018-06-03,100,41
2018-06-10,81,42
2018-06-17,64,36
2018-06-24,57,44
2018-07-01,56,49
2018-07-08,54,38
2018-07-15,57,45
2018-07-22,56,40
2018-07-29,58,41
2018-08-05,49,37
2018-08-12,50,34
2018-08-19,55,41
2018-08-26,53,44
2018-09-02,59,44
2018-09-09,54,39
2018-09-16,58,41
2018-09-23,75,42
2018-09-30,66,47
2018-10-07,87,49
2018-10-14,73,52
2018-10-21,79,47
2018-10-28,66,43
2018-11-04,73,44
2018-11-11,74,43
2018-11-18,77,45
2018-11-25,80,45
2018-12-02,83,46
2018-12-09,66,45
2018-12-16,58,42
2018-12-23,50,36
2018-12-30,64,41
