Category: All categories

Week,Furniture: (Portugal)
2010-01-03,93
2010-01-10,92
2010-01-17,100
2010-01-24,88
2010-01-31,90
2010-02-07,79
2010-02-14,75
2010-02-21,86
2010-02-28,85
2010-03-07,82
2010-03-14,79
2010-03-21,85
2010-03-28,89
2010-04-04,84
2010-04-11,74
2010-04-18,86
2010-04-25,79
2010-05-02,72
2010-05-09,71
2010-05-16,63
2010-05-23,71
2010-05-30,66
2010-06-06,74
2010-06-13,71
2010-06-20,74
2010-06-27,81
2010-07-04,74
2010-07-11,93
2010-07-18,90
2010-07-25,85
2010-08-01,85
2010-08-08,84
2010-08-15,82
2010-08-22,86
2010-08-29,77
2010-09-05,70
2010-09-12,96
2010-09-19,80
2010-09-26,66
2010-10-03,77
2010-10-10,73
2010-10-17,70
2010-10-24,68
2010-10-31,69
2010-11-07,76
2010-11-14,77
2010-11-21,74
2010-11-28,71
2010-12-05,56
2010-12-12,59
2010-12-19,56
2010-12-26,52
2011-01-02,71
2011-01-09,69
2011-01-16,77
2011-01-23,73
2011-01-30,78
2011-02-06,66
2011-02-13,66
2011-02-20,69
2011-02-27,71
2011-03-06,72
2011-03-13,65
2011-03-20,70
2011-03-27,72
2011-04-03,59
2011-04-10,55
2011-04-17,61
2011-04-24,59
2011-05-01,64
2011-05-08,56
2011-05-15,56
2011-05-22,67
2011-05-29,59
2011-06-05,62
2011-06-12,61
2011-06-19,58
2011-06-26,53
2011-07-03,69
2011-07-10,64
2011-07-17,67
2011-07-24,65
2011-07-31,71
2011-08-07,73
2011-08-14,79
2011-08-21,86
2011-08-28,87
2011-09-04,67
2011-09-11,64
2011-09-18,66
2011-09-25,76
2011-10-02,70
2011-10-09,71
2011-10-16,66
2011-10-23,79
2011-10-30,63
2011-11-06,67
2011-11-13,71
2011-11-20,73
2011-11-27,67
2011-12-04,67
2011-12-11,58
2011-12-18,40
2011-12-25,51
