Category: All categories

Week,Real Estate: (Portugal)
2006-01-01,73
2006-01-08,76
2006-01-15,70
2006-01-22,79
2006-01-29,74
2006-02-05,69
2006-02-12,77
2006-02-19,76
2006-02-26,84
2006-03-05,72
2006-03-12,82
2006-03-19,81
2006-03-26,80
2006-04-02,86
2006-04-09,70
2006-04-16,83
2006-04-23,84
2006-04-30,75
2006-05-07,67
2006-05-14,72
2006-05-21,62
2006-05-28,67
2006-06-04,74
2006-06-11,73
2006-06-18,65
2006-06-25,70
2006-07-02,80
2006-07-09,55
2006-07-16,75
2006-07-23,75
2006-07-30,73
2006-08-06,96
2006-08-13,95
2006-08-20,91
2006-08-27,96
2006-09-03,91
2006-09-10,86
2006-09-17,82
2006-09-24,99
2006-10-01,89
2006-10-08,100
2006-10-15,80
2006-10-22,79
2006-10-29,79
2006-11-05,67
2006-11-12,68
2006-11-19,93
2006-11-26,58
2006-12-03,63
2006-12-10,52
2006-12-17,42
2006-12-24,61
2006-12-31,69
