Category: All categories

Week,Energy: (Portugal),ebook: (Portugal)
2013-01-06,85,26
2013-01-13,81,29
2013-01-20,87,25
2013-01-27,77,20
2013-02-03,76,27
2013-02-10,63,28
2013-02-17,76,25
2013-02-24,82,25
2013-03-03,87,22
2013-03-10,70,24
2013-03-17,61,20
2013-03-24,70,28
2013-03-31,75,23
2013-04-07,89,17
2013-04-14,80,23
2013-04-21,75,20
2013-04-28,86,23
2013-05-05,78,21
2013-05-12,89,24
2013-05-19,97,19
2013-05-26,100,20
2013-06-02,81,19
2013-06-09,63,20
2013-06-16,62,18
2013-06-23,55,21
2013-06-30,49,19
2013-07-07,49,20
2013-07-14,54,20
2013-07-21,47,25
2013-07-28,40,22
2013-08-04,39,22
2013-08-11,34,18
2013-08-18,42,21
2013-08-25,44,18
2013-09-01,44,17
2013-09-08,51,20
2013-09-15,53,21
2013-09-22,59,22
2013-09-29,65,22
2013-10-06,65,23
2013-10-13,63,21
2013-10-20,67,24
2013-10-27,69,16
2013-11-03,71,25
2013-11-10,72,21
2013-11-17,74,21
2013-11-24,87,17
2013-12-01,98,19
2013-12-08,87,24
2013-12-15,65,21
2013-12-22,54,28
2013-12-29,65,26
