Category: All categories

Week,Energy: (Portugal),Novel: (Portugal)
2011-01-02,69,5
2011-01-09,82,4
2011-01-16,81,2
2011-01-23,78,4
2011-01-30,74,4
2011-02-06,80,3
2011-02-13,72,3
2011-02-20,83,4
2011-02-27,79,5
2011-03-06,65,3
2011-03-13,89,5
2011-03-20,82,4
2011-03-27,75,4
2011-04-03,70,2
2011-04-10,51,5
2011-04-17,59,3
2011-04-24,73,7
2011-05-01,82,4
2011-05-08,82,6
2011-05-15,94,3
2011-05-22,100,4
2011-05-29,98,3
2011-06-05,91,5
2011-06-12,99,6
2011-06-19,80,4
2011-06-26,100,3
2011-07-03,88,3
2011-07-10,83,4
2011-07-17,92,2
2011-07-24,78,5
2011-07-31,57,5
2011-08-07,47,4
2011-08-14,45,4
2011-08-21,49,6
2011-08-28,43,4
2011-09-04,52,4
2011-09-11,48,4
2011-09-18,61,3
2011-09-25,62,5
2011-10-02,65,6
2011-10-09,63,5
2011-10-16,71,9
2011-10-23,64,6
2011-10-30,61,5
2011-11-06,66,7
2011-11-13,71,6
2011-11-20,66,7
2011-11-27,63,5
2011-12-04,58,5
2011-12-11,62,6
2011-12-18,41,5
2011-12-25,51,7
