Category: All categories

Week,Energy: (Portugal),Interior design: (Portugal)
2006-01-01,64,26
2006-01-08,66,32
2006-01-15,61,36
2006-01-22,51,41
2006-01-29,59,45
2006-02-05,64,52
2006-02-12,47,53
2006-02-19,66,39
2006-02-26,52,44
2006-03-05,65,31
2006-03-12,61,37
2006-03-19,61,52
2006-03-26,49,36
2006-04-02,44,39
2006-04-09,54,28
2006-04-16,65,27
2006-04-23,61,46
2006-04-30,76,37
2006-05-07,91,45
2006-05-14,91,45
2006-05-21,99,30
2006-05-28,73,37
2006-06-04,100,30
2006-06-11,65,36
2006-06-18,42,40
2006-06-25,34,30
2006-07-02,31,46
2006-07-09,35,39
2006-07-16,30,46
2006-07-23,37,44
2006-07-30,18,41
2006-08-06,32,46
2006-08-13,28,49
2006-08-20,22,50
2006-08-27,37,52
2006-09-03,27,49
2006-09-10,16,41
2006-09-17,46,38
2006-09-24,53,45
2006-10-01,64,39
2006-10-08,57,39
2006-10-15,55,48
2006-10-22,63,49
2006-10-29,52,37
2006-11-05,62,42
2006-11-12,48,33
2006-11-19,60,31
2006-11-26,52,33
2006-12-03,54,40
2006-12-10,52,26
2006-12-17,34,20
2006-12-24,27,23
2006-12-31,41,24
