Category: All categories

Week,Restaurant: (Portugal)
2008-01-06,57
2008-01-13,63
2008-01-20,51
2008-01-27,57
2008-02-03,68
2008-02-10,100
2008-02-17,54
2008-02-24,53
2008-03-02,64
2008-03-09,59
2008-03-16,60
2008-03-23,63
2008-03-30,57
2008-04-06,56
2008-04-13,56
2008-04-20,62
2008-04-27,60
2008-05-04,61
2008-05-11,59
2008-05-18,60
2008-05-25,49
2008-06-01,54
2008-06-08,48
2008-06-15,48
2008-06-22,58
2008-06-29,54
2008-07-06,56
2008-07-13,62
2008-07-20,64
2008-07-27,62
2008-08-03,72
2008-08-10,66
2008-08-17,66
2008-08-24,70
2008-08-31,63
2008-09-07,58
2008-09-14,63
2008-09-21,63
2008-09-28,55
2008-10-05,55
2008-10-12,61
2008-10-19,59
2008-10-26,57
2008-11-02,56
2008-11-09,63
2008-11-16,66
2008-11-23,69
2008-11-30,73
2008-12-07,82
2008-12-14,87
2008-12-21,63
2008-12-28,85
2009-01-04,57
2009-01-11,54
2009-01-18,59
2009-01-25,53
2009-02-01,67
2009-02-08,98
2009-02-15,60
2009-02-22,64
2009-03-01,61
2009-03-08,55
2009-03-15,59
2009-03-22,54
2009-03-29,59
2009-04-05,68
2009-04-12,58
2009-04-19,62
2009-04-26,69
2009-05-03,62
2009-05-10,61
2009-05-17,66
2009-05-24,68
2009-05-31,59
2009-06-07,59
2009-06-14,54
2009-06-21,60
2009-06-28,57
2009-07-05,60
2009-07-12,63
2009-07-19,63
2009-07-26,69
2009-08-02,69
2009-08-09,73
2009-08-16,74
2009-08-23,73
2009-08-30,61
2009-09-06,69
2009-09-13,62
2009-09-20,63
2009-09-27,66
2009-10-04,68
2009-10-11,69
2009-10-18,63
2009-10-25,67
2009-11-01,63
2009-11-08,64
2009-11-15,68
2009-11-22,79
2009-11-29,77
2009-12-06,88
2009-12-13,87
2009-12-20,75
2009-12-27,95
