Category: All categories

Week,Energy: (Portugal),Dessert: (Portugal)
2014-01-05,85,20
2014-01-12,80,28
2014-01-19,80,24
2014-01-26,82,21
2014-02-02,73,24
2014-02-09,80,28
2014-02-16,71,25
2014-02-23,76,22
2014-03-02,68,21
2014-03-09,72,26
2014-03-16,81,26
2014-03-23,86,25
2014-03-30,77,27
2014-04-06,62,27
2014-04-13,61,39
2014-04-20,67,26
2014-04-27,67,27
2014-05-04,79,26
2014-05-11,86,27
2014-05-18,99,25
2014-05-25,100,22
2014-06-01,97,24
2014-06-08,88,24
2014-06-15,84,28
2014-06-22,78,30
2014-06-29,69,27
2014-07-06,69,27
2014-07-13,61,21
2014-07-20,52,25
2014-07-27,51,25
2014-08-03,48,27
2014-08-10,41,27
2014-08-17,51,29
2014-08-24,46,24
2014-08-31,62,18
2014-09-07,56,22
2014-09-14,66,20
2014-09-21,66,21
2014-09-28,72,24
2014-10-05,79,21
2014-10-12,71,23
2014-10-19,64,22
2014-10-26,74,22
2014-11-02,72,18
2014-11-09,76,25
2014-11-16,67,21
2014-11-23,66,20
2014-11-30,63,22
2014-12-07,74,30
2014-12-14,65,30
2014-12-21,58,43
2014-12-28,73,39
