Category: All categories

Week,Energy: (Portugal),Shoes: (Portugal)
2006-01-01,65,16
2006-01-08,66,25
2006-01-15,60,32
2006-01-22,52,23
2006-01-29,58,26
2006-02-05,63,41
2006-02-12,44,35
2006-02-19,66,27
2006-02-26,56,34
2006-03-05,55,27
2006-03-12,57,21
2006-03-19,60,34
2006-03-26,51,35
2006-04-02,44,31
2006-04-09,42,30
2006-04-16,62,28
2006-04-23,63,32
2006-04-30,83,38
2006-05-07,92,26
2006-05-14,86,20
2006-05-21,100,32
2006-05-28,75,36
2006-06-04,97,24
2006-06-11,60,25
2006-06-18,41,27
2006-06-25,38,21
2006-07-02,33,39
2006-07-09,33,17
2006-07-16,33,30
2006-07-23,34,31
2006-07-30,28,30
2006-08-06,30,24
2006-08-13,28,22
2006-08-20,24,23
2006-08-27,35,29
2006-09-03,26,26
2006-09-10,28,21
2006-09-17,40,28
2006-09-24,52,34
2006-10-01,61,34
2006-10-08,55,36
2006-10-15,51,41
2006-10-22,62,32
2006-10-29,49,22
2006-11-05,54,36
2006-11-12,45,31
2006-11-19,56,35
2006-11-26,50,20
2006-12-03,47,25
2006-12-10,48,30
2006-12-17,32,29
2006-12-24,29,23
2006-12-31,39,30
