Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2010-01-03,67,45
2010-01-10,73,45
2010-01-17,71,52
2010-01-24,73,47
2010-01-31,74,47
2010-02-07,67,40
2010-02-14,55,39
2010-02-21,71,45
2010-02-28,67,43
2010-03-07,69,42
2010-03-14,67,41
2010-03-21,63,44
2010-03-28,43,47
2010-04-04,57,44
2010-04-11,73,39
2010-04-18,88,45
2010-04-25,72,42
2010-05-02,83,36
2010-05-09,79,32
2010-05-16,97,34
2010-05-23,100,39
2010-05-30,85,34
2010-06-06,69,38
2010-06-13,49,36
2010-06-20,40,35
2010-06-27,47,40
2010-07-04,47,35
2010-07-11,37,45
2010-07-18,33,45
2010-07-25,48,44
2010-08-01,44,46
2010-08-08,37,44
2010-08-15,34,42
2010-08-22,39,44
2010-08-29,30,43
2010-09-05,37,36
2010-09-12,53,46
2010-09-19,54,42
2010-09-26,54,35
2010-10-03,48,38
2010-10-10,60,35
2010-10-17,49,33
2010-10-24,57,36
2010-10-31,62,33
2010-11-07,60,38
2010-11-14,66,37
2010-11-21,60,35
2010-11-28,58,35
2010-12-05,55,34
2010-12-12,51,30
2010-12-19,33,28
2010-12-26,28,27
