Category: All categories

Week,Petroleum: (Portugal)
2015-01-04,76
2015-01-11,99
2015-01-18,75
2015-01-25,78
2015-02-01,99
2015-02-08,79
2015-02-15,64
2015-02-22,66
2015-03-01,55
2015-03-08,47
2015-03-15,56
2015-03-22,39
2015-03-29,36
2015-04-05,42
2015-04-12,44
2015-04-19,44
2015-04-26,44
2015-05-03,43
2015-05-10,51
2015-05-17,51
2015-05-24,48
2015-05-31,35
2015-06-07,44
2015-06-14,37
2015-06-21,26
2015-06-28,29
2015-07-05,31
2015-07-12,34
2015-07-19,47
2015-07-26,29
2015-08-02,50
2015-08-09,39
2015-08-16,48
2015-08-23,61
2015-08-30,58
2015-09-06,47
2015-09-13,47
2015-09-20,37
2015-09-27,34
2015-10-04,46
2015-10-11,44
2015-10-18,41
2015-10-25,38
2015-11-01,39
2015-11-08,43
2015-11-15,54
2015-11-22,45
2015-11-29,47
2015-12-06,58
2015-12-13,58
2015-12-20,38
2015-12-27,41
2016-01-03,84
2016-01-10,96
2016-01-17,100
2016-01-24,84
2016-01-31,73
2016-02-07,72
2016-02-14,70
2016-02-21,75
2016-02-28,69
2016-03-06,63
2016-03-13,66
2016-03-20,51
2016-03-27,49
2016-04-03,48
2016-04-10,62
2016-04-17,58
2016-04-24,44
2016-05-01,45
2016-05-08,50
2016-05-15,54
2016-05-22,67
2016-05-29,62
2016-06-05,43
2016-06-12,39
2016-06-19,41
2016-06-26,32
2016-07-03,45
2016-07-10,46
2016-07-17,37
2016-07-24,47
2016-07-31,36
2016-08-07,53
2016-08-14,36
2016-08-21,50
2016-08-28,43
2016-09-04,41
2016-09-11,47
2016-09-18,48
2016-09-25,45
2016-10-02,55
2016-10-09,55
2016-10-16,47
2016-10-23,38
2016-10-30,38
2016-11-06,67
2016-11-13,55
2016-11-20,38
2016-11-27,56
2016-12-04,49
2016-12-11,58
2016-12-18,49
2016-12-25,45
