Category: All categories

Week,Nightclub: (Portugal)
2017-01-01,67
2017-01-08,63
2017-01-15,66
2017-01-22,59
2017-01-29,44
2017-02-05,56
2017-02-12,53
2017-02-19,57
2017-02-26,59
2017-03-05,57
2017-03-12,53
2017-03-19,72
2017-03-26,48
2017-04-02,58
2017-04-09,61
2017-04-16,47
2017-04-23,61
2017-04-30,54
2017-05-07,50
2017-05-14,67
2017-05-21,46
2017-05-28,51
2017-06-04,56
2017-06-11,59
2017-06-18,48
2017-06-25,46
2017-07-02,59
2017-07-09,67
2017-07-16,73
2017-07-23,81
2017-07-30,92
2017-08-06,98
2017-08-13,100
2017-08-20,72
2017-08-27,76
2017-09-03,60
2017-09-10,50
2017-09-17,50
2017-09-24,42
2017-10-01,55
2017-10-08,48
2017-10-15,49
2017-10-22,55
2017-10-29,88
2017-11-05,63
2017-11-12,45
2017-11-19,67
2017-11-26,59
2017-12-03,66
2017-12-10,59
2017-12-17,54
2017-12-24,72
2017-12-31,70
