Category: All categories

Week,Footwear: (Portugal)
2007-01-07,0
2007-01-14,68
2007-01-21,0
2007-01-28,0
2007-02-04,98
2007-02-11,0
2007-02-18,0
2007-02-25,0
2007-03-04,0
2007-03-11,0
2007-03-18,0
2007-03-25,100
2007-04-01,0
2007-04-08,0
2007-04-15,57
2007-04-22,0
2007-04-29,0
2007-05-06,0
2007-05-13,0
2007-05-20,0
2007-05-27,97
2007-06-03,0
2007-06-10,37
2007-06-17,0
2007-06-24,0
2007-07-01,0
2007-07-08,69
2007-07-15,48
2007-07-22,0
2007-07-29,0
2007-08-05,0
2007-08-12,0
2007-08-19,66
2007-08-26,57
2007-09-02,42
2007-09-09,0
2007-09-16,55
2007-09-23,77
2007-09-30,0
2007-10-07,0
2007-10-14,42
2007-10-21,0
2007-10-28,0
2007-11-04,0
2007-11-11,0
2007-11-18,0
2007-11-25,0
2007-12-02,44
2007-12-09,0
2007-12-16,0
2007-12-23,0
2007-12-30,43
