Category: All categories

Week,Energy: (Portugal),T-shirt: (Portugal)
2012-01-01,71,25
2012-01-08,86,25
2012-01-15,82,23
2012-01-22,81,25
2012-01-29,69,23
2012-02-05,77,27
2012-02-12,73,27
2012-02-19,64,31
2012-02-26,74,28
2012-03-04,77,31
2012-03-11,82,30
2012-03-18,80,31
2012-03-25,63,30
2012-04-01,51,31
2012-04-08,67,35
2012-04-15,89,38
2012-04-22,76,30
2012-04-29,81,30
2012-05-06,90,34
2012-05-13,97,39
2012-05-20,96,35
2012-05-27,100,37
2012-06-03,80,41
2012-06-10,77,37
2012-06-17,65,40
2012-06-24,71,41
2012-07-01,66,42
2012-07-08,60,39
2012-07-15,53,37
2012-07-22,45,40
2012-07-29,41,35
2012-08-05,42,32
2012-08-12,41,37
2012-08-19,44,37
2012-08-26,45,32
2012-09-02,46,32
2012-09-09,57,33
2012-09-16,65,29
2012-09-23,55,28
2012-09-30,54,35
2012-10-07,58,27
2012-10-14,60,30
2012-10-21,61,28
2012-10-28,63,25
2012-11-04,67,28
2012-11-11,62,24
2012-11-18,65,26
2012-11-25,71,28
2012-12-02,68,31
2012-12-09,66,30
2012-12-16,55,31
2012-12-23,62,24
2012-12-30,72,23
