Category: All categories

Week,Energy: (Portugal),Renovation: (Portugal)
2016-01-03,91,7
2016-01-10,82,6
2016-01-17,87,7
2016-01-24,79,7
2016-01-31,76,5
2016-02-07,65,6
2016-02-14,78,8
2016-02-21,83,6
2016-02-28,90,7
2016-03-06,81,5
2016-03-13,74,3
2016-03-20,63,5
2016-03-27,65,7
2016-04-03,79,5
2016-04-10,87,7
2016-04-17,84,5
2016-04-24,85,7
2016-05-01,88,3
2016-05-08,94,9
2016-05-15,100,5
2016-05-22,91,5
2016-05-29,94,4
2016-06-05,74,6
2016-06-12,81,3
2016-06-19,55,3
2016-06-26,63,8
2016-07-03,58,5
2016-07-10,55,4
2016-07-17,57,1
2016-07-24,56,5
2016-07-31,45,1
2016-08-07,43,4
2016-08-14,45,8
2016-08-21,50,4
2016-08-28,61,3
2016-09-04,58,3
2016-09-11,58,6
2016-09-18,65,4
2016-09-25,74,3
2016-10-02,73,5
2016-10-09,71,5
2016-10-16,72,2
2016-10-23,76,2
2016-10-30,68,0
2016-11-06,86,4
2016-11-13,80,3
2016-11-20,77,6
2016-11-27,74,3
2016-12-04,66,6
2016-12-11,61,5
2016-12-18,49,7
2016-12-25,56,3
