Category: All categories

Week,Amusement park: (Portugal)
2010-01-03,45
2010-01-10,42
2010-01-17,66
2010-01-24,30
2010-01-31,0
2010-02-07,25
2010-02-14,34
2010-02-21,15
2010-02-28,40
2010-03-07,0
2010-03-14,35
2010-03-21,0
2010-03-28,82
2010-04-04,27
2010-04-11,47
2010-04-18,16
2010-04-25,0
2010-05-02,32
2010-05-09,0
2010-05-16,30
2010-05-23,74
2010-05-30,49
2010-06-06,60
2010-06-13,43
2010-06-20,97
2010-06-27,100
2010-07-04,29
2010-07-11,49
2010-07-18,41
2010-07-25,28
2010-08-01,33
2010-08-08,26
2010-08-15,76
2010-08-22,0
2010-08-29,54
2010-09-05,38
2010-09-12,0
2010-09-19,33
2010-09-26,22
2010-10-03,0
2010-10-10,32
2010-10-17,25
2010-10-24,23
2010-10-31,37
2010-11-07,0
2010-11-14,51
2010-11-21,60
2010-11-28,18
2010-12-05,49
2010-12-12,0
2010-12-19,34
2010-12-26,64
