Category: All categories

Week,Lumber: (Portugal)
2015-01-04,64
2015-01-11,28
2015-01-18,78
2015-01-25,48
2015-02-01,29
2015-02-08,33
2015-02-15,63
2015-02-22,0
2015-03-01,59
2015-03-08,38
2015-03-15,31
2015-03-22,58
2015-03-29,47
2015-04-05,45
2015-04-12,80
2015-04-19,33
2015-04-26,65
2015-05-03,55
2015-05-10,29
2015-05-17,54
2015-05-24,0
2015-05-31,33
2015-06-07,58
2015-06-14,100
2015-06-21,47
2015-06-28,0
2015-07-05,68
2015-07-12,31
2015-07-19,39
2015-07-26,42
2015-08-02,29
2015-08-09,23
2015-08-16,56
2015-08-23,17
2015-08-30,0
2015-09-06,20
2015-09-13,50
2015-09-20,27
2015-09-27,0
2015-10-04,0
2015-10-11,20
2015-10-18,0
2015-10-25,91
2015-11-01,29
2015-11-08,45
2015-11-15,36
2015-11-22,20
2015-11-29,48
2015-12-06,62
2015-12-13,85
2015-12-20,0
2015-12-27,24
