Category: All categories

Week,Energy: (Portugal),Travel agency: (Portugal)
2012-01-01,74,18
2012-01-08,85,12
2012-01-15,84,22
2012-01-22,81,15
2012-01-29,70,11
2012-02-05,81,11
2012-02-12,73,12
2012-02-19,64,14
2012-02-26,77,15
2012-03-04,77,19
2012-03-11,84,18
2012-03-18,81,18
2012-03-25,64,17
2012-04-01,53,18
2012-04-08,68,19
2012-04-15,89,17
2012-04-22,75,18
2012-04-29,81,13
2012-05-06,90,17
2012-05-13,97,18
2012-05-20,95,18
2012-05-27,100,19
2012-06-03,83,20
2012-06-10,77,22
2012-06-17,67,17
2012-06-24,72,24
2012-07-01,67,28
2012-07-08,60,22
2012-07-15,51,24
2012-07-22,46,18
2012-07-29,42,22
2012-08-05,42,23
2012-08-12,41,25
2012-08-19,45,18
2012-08-26,46,13
2012-09-02,46,15
2012-09-09,58,12
2012-09-16,66,12
2012-09-23,56,11
2012-09-30,52,9
2012-10-07,58,8
2012-10-14,61,11
2012-10-21,62,11
2012-10-28,63,9
2012-11-04,67,10
2012-11-11,63,8
2012-11-18,66,7
2012-11-25,71,11
2012-12-02,69,8
2012-12-09,67,9
2012-12-16,56,6
2012-12-23,64,10
2012-12-30,72,13
