Category: All categories

Week,ebook: (Portugal)
2012-01-01,85
2012-01-08,80
2012-01-15,95
2012-01-22,66
2012-01-29,63
2012-02-05,77
2012-02-12,70
2012-02-19,67
2012-02-26,72
2012-03-04,86
2012-03-11,82
2012-03-18,72
2012-03-25,81
2012-04-01,72
2012-04-08,66
2012-04-15,64
2012-04-22,68
2012-04-29,68
2012-05-06,52
2012-05-13,76
2012-05-20,75
2012-05-27,73
2012-06-03,71
2012-06-10,69
2012-06-17,55
2012-06-24,64
2012-07-01,63
2012-07-08,59
2012-07-15,57
2012-07-22,78
2012-07-29,66
2012-08-05,72
2012-08-12,62
2012-08-19,75
2012-08-26,59
2012-09-02,53
2012-09-09,53
2012-09-16,73
2012-09-23,91
2012-09-30,82
2012-10-07,87
2012-10-14,87
2012-10-21,92
2012-10-28,88
2012-11-04,75
2012-11-11,74
2012-11-18,77
2012-11-25,75
2012-12-02,81
2012-12-09,73
2012-12-16,72
2012-12-23,100
2012-12-30,87
