Category: All categories

Week,Margarine: (Portugal)
2014-01-05,55
2014-01-12,34
2014-01-19,76
2014-01-26,64
2014-02-02,18
2014-02-09,56
2014-02-16,0
2014-02-23,12
2014-03-02,40
2014-03-09,65
2014-03-16,100
2014-03-23,44
2014-03-30,30
2014-04-06,38
2014-04-13,72
2014-04-20,23
2014-04-27,0
2014-05-04,46
2014-05-11,22
2014-05-18,51
2014-05-25,23
2014-06-01,42
2014-06-08,0
2014-06-15,42
2014-06-22,56
2014-06-29,86
2014-07-06,49
2014-07-13,35
2014-07-20,18
2014-07-27,0
2014-08-03,32
2014-08-10,40
2014-08-17,0
2014-08-24,36
2014-08-31,41
2014-09-07,17
2014-09-14,35
2014-09-21,0
2014-09-28,41
2014-10-05,14
2014-10-12,39
2014-10-19,46
2014-10-26,31
2014-11-02,46
2014-11-09,43
2014-11-16,58
2014-11-23,66
2014-11-30,27
2014-12-07,47
2014-12-14,64
2014-12-21,23
2014-12-28,29
