Category: All categories

Week,Energy: (Portugal),Juice: (Portugal)
2018-01-07,82,30
2018-01-14,86,30
2018-01-21,85,40
2018-01-28,79,29
2018-02-04,72,26
2018-02-11,71,28
2018-02-18,82,31
2018-02-25,78,27
2018-03-04,82,31
2018-03-11,95,23
2018-03-18,83,23
2018-03-25,85,27
2018-04-01,82,25
2018-04-08,79,25
2018-04-15,90,25
2018-04-22,85,25
2018-04-29,89,33
2018-05-06,79,30
2018-05-13,80,27
2018-05-20,92,29
2018-05-27,77,30
2018-06-03,100,31
2018-06-10,82,27
2018-06-17,67,35
2018-06-24,59,26
2018-07-01,58,29
2018-07-08,55,28
2018-07-15,60,31
2018-07-22,59,29
2018-07-29,55,34
2018-08-05,51,26
2018-08-12,53,36
2018-08-19,55,35
2018-08-26,54,27
2018-09-02,59,22
2018-09-09,56,27
2018-09-16,59,26
2018-09-23,76,27
2018-09-30,69,20
2018-10-07,88,19
2018-10-14,74,20
2018-10-21,76,20
2018-10-28,68,17
2018-11-04,75,21
2018-11-11,76,26
2018-11-18,79,19
2018-11-25,81,13
2018-12-02,81,17
2018-12-09,66,19
2018-12-16,63,19
2018-12-23,49,23
2018-12-30,65,23
