Category: All categories

Week,Energy: (Portugal),Mobile phone: (Portugal)
2008-01-06,34,85
2008-01-13,32,78
2008-01-20,29,78
2008-01-27,30,76
2008-02-03,26,79
2008-02-10,29,72
2008-02-17,35,69
2008-02-24,35,69
2008-03-02,35,66
2008-03-09,29,69
2008-03-16,25,80
2008-03-23,23,79
2008-03-30,36,95
2008-04-06,33,78
2008-04-13,33,78
2008-04-20,39,72
2008-04-27,32,76
2008-05-04,43,80
2008-05-11,39,69
2008-05-18,44,77
2008-05-25,48,67
2008-06-01,46,66
2008-06-08,37,73
2008-06-15,33,72
2008-06-22,27,76
2008-06-29,24,78
2008-07-06,25,82
2008-07-13,29,81
2008-07-20,17,70
2008-07-27,15,81
2008-08-03,16,81
2008-08-10,14,86
2008-08-17,18,84
2008-08-24,16,90
2008-08-31,17,80
2008-09-07,19,73
2008-09-14,25,68
2008-09-21,28,83
2008-09-28,30,68
2008-10-05,32,70
2008-10-12,29,74
2008-10-19,28,76
2008-10-26,28,70
2008-11-02,26,73
2008-11-09,31,76
2008-11-16,35,75
2008-11-23,29,74
2008-11-30,28,81
2008-12-07,26,86
2008-12-14,30,87
2008-12-21,19,100
2008-12-28,25,84
