Category: All categories

Week,Shoes: (Portugal)
2011-01-02,65
2011-01-09,54
2011-01-16,54
2011-01-23,55
2011-01-30,58
2011-02-06,63
2011-02-13,57
2011-02-20,59
2011-02-27,62
2011-03-06,62
2011-03-13,61
2011-03-20,75
2011-03-27,68
2011-04-03,80
2011-04-10,79
2011-04-17,82
2011-04-24,72
2011-05-01,75
2011-05-08,73
2011-05-15,72
2011-05-22,66
2011-05-29,71
2011-06-05,68
2011-06-12,72
2011-06-19,59
2011-06-26,54
2011-07-03,72
2011-07-10,67
2011-07-17,65
2011-07-24,60
2011-07-31,69
2011-08-07,67
2011-08-14,69
2011-08-21,82
2011-08-28,82
2011-09-04,85
2011-09-11,82
2011-09-18,75
2011-09-25,79
2011-10-02,77
2011-10-09,77
2011-10-16,80
2011-10-23,100
2011-10-30,86
2011-11-06,79
2011-11-13,76
2011-11-20,75
2011-11-27,85
2011-12-04,75
2011-12-11,77
2011-12-18,68
2011-12-25,81
