Category: All categories

Week,Shoes: (Portugal)
2007-01-07,73
2007-01-14,82
2007-01-21,82
2007-01-28,42
2007-02-04,53
2007-02-11,60
2007-02-18,62
2007-02-25,59
2007-03-04,50
2007-03-11,64
2007-03-18,68
2007-03-25,84
2007-04-01,76
2007-04-08,65
2007-04-15,84
2007-04-22,66
2007-04-29,98
2007-05-06,74
2007-05-13,88
2007-05-20,63
2007-05-27,82
2007-06-03,67
2007-06-10,62
2007-06-17,64
2007-06-24,64
2007-07-01,57
2007-07-08,60
2007-07-15,63
2007-07-22,62
2007-07-29,77
2007-08-05,57
2007-08-12,78
2007-08-19,43
2007-08-26,79
2007-09-02,74
2007-09-09,76
2007-09-16,58
2007-09-23,100
2007-09-30,77
2007-10-07,87
2007-10-14,79
2007-10-21,72
2007-10-28,74
2007-11-04,69
2007-11-11,77
2007-11-18,68
2007-11-25,62
2007-12-02,68
2007-12-09,71
2007-12-16,63
2007-12-23,68
2007-12-30,63
