Category: All categories

Week,Video game: (Portugal)
2009-01-04,47
2009-01-11,48
2009-01-18,53
2009-01-25,46
2009-02-01,53
2009-02-08,51
2009-02-15,49
2009-02-22,61
2009-03-01,48
2009-03-08,46
2009-03-15,47
2009-03-22,50
2009-03-29,64
2009-04-05,67
2009-04-12,52
2009-04-19,48
2009-04-26,54
2009-05-03,50
2009-05-10,51
2009-05-17,58
2009-05-24,52
2009-05-31,57
2009-06-07,77
2009-06-14,65
2009-06-21,74
2009-06-28,72
2009-07-05,74
2009-07-12,73
2009-07-19,71
2009-07-26,76
2009-08-02,77
2009-08-09,76
2009-08-16,75
2009-08-23,77
2009-08-30,73
2009-09-06,72
2009-09-13,62
2009-09-20,57
2009-09-27,60
2009-10-04,66
2009-10-11,56
2009-10-18,59
2009-10-25,60
2009-11-01,63
2009-11-08,64
2009-11-15,62
2009-11-22,65
2009-11-29,73
2009-12-06,73
2009-12-13,69
2009-12-20,100
2009-12-27,93
