Category: All categories

Week,Energy: (Portugal),Coffee: (Portugal)
2015-01-04,87,42
2015-01-11,100,47
2015-01-18,93,48
2015-01-25,85,43
2015-02-01,75,53
2015-02-08,76,49
2015-02-15,70,49
2015-02-22,92,52
2015-03-01,84,51
2015-03-08,83,49
2015-03-15,84,47
2015-03-22,69,44
2015-03-29,58,46
2015-04-05,73,46
2015-04-12,82,47
2015-04-19,78,47
2015-04-26,73,46
2015-05-03,77,50
2015-05-10,84,48
2015-05-17,78,46
2015-05-24,84,46
2015-05-31,71,45
2015-06-07,75,44
2015-06-14,65,42
2015-06-21,56,42
2015-06-28,57,43
2015-07-05,50,43
2015-07-12,52,44
2015-07-19,48,45
2015-07-26,56,42
2015-08-02,41,40
2015-08-09,43,40
2015-08-16,46,48
2015-08-23,44,43
2015-08-30,55,47
2015-09-06,55,48
2015-09-13,50,52
2015-09-20,58,42
2015-09-27,65,45
2015-10-04,62,47
2015-10-11,67,54
2015-10-18,64,50
2015-10-25,69,46
2015-11-01,69,55
2015-11-08,62,50
2015-11-15,62,59
2015-11-22,71,50
2015-11-29,71,54
2015-12-06,63,52
2015-12-13,66,53
2015-12-20,39,54
2015-12-27,54,54
