Category: All categories

Week,Footwear: (Portugal)
2011-01-02,39
2011-01-09,32
2011-01-16,30
2011-01-23,22
2011-01-30,0
2011-02-06,40
2011-02-13,0
2011-02-20,19
2011-02-27,0
2011-03-06,39
2011-03-13,33
2011-03-20,34
2011-03-27,14
2011-04-03,0
2011-04-10,46
2011-04-17,18
2011-04-24,24
2011-05-01,41
2011-05-08,41
2011-05-15,36
2011-05-22,0
2011-05-29,14
2011-06-05,44
2011-06-12,0
2011-06-19,27
2011-06-26,0
2011-07-03,0
2011-07-10,65
2011-07-17,0
2011-07-24,63
2011-07-31,31
2011-08-07,0
2011-08-14,0
2011-08-21,57
2011-08-28,100
2011-09-04,25
2011-09-11,46
2011-09-18,30
2011-09-25,0
2011-10-02,30
2011-10-09,0
2011-10-16,0
2011-10-23,0
2011-10-30,39
2011-11-06,30
2011-11-13,16
2011-11-20,0
2011-11-27,0
2011-12-04,70
2011-12-11,26
2011-12-18,57
2011-12-25,21
2012-01-01,13
2012-01-08,21
2012-01-15,58
2012-01-22,24
2012-01-29,21
2012-02-05,22
2012-02-12,33
2012-02-19,0
2012-02-26,33
2012-03-04,40
2012-03-11,27
2012-03-18,24
2012-03-25,33
2012-04-01,23
2012-04-08,0
2012-04-15,16
2012-04-22,20
2012-04-29,54
2012-05-06,0
2012-05-13,0
2012-05-20,0
2012-05-27,0
2012-06-03,75
2012-06-10,0
2012-06-17,36
2012-06-24,19
2012-07-01,0
2012-07-08,27
2012-07-15,20
2012-07-22,0
2012-07-29,20
2012-08-05,64
2012-08-12,63
2012-08-19,0
2012-08-26,62
2012-09-02,0
2012-09-09,33
2012-09-16,0
2012-09-23,27
2012-09-30,24
2012-10-07,44
2012-10-14,21
2012-10-21,22
2012-10-28,0
2012-11-04,32
2012-11-11,17
2012-11-18,0
2012-11-25,26
2012-12-02,0
2012-12-09,37
2012-12-16,0
2012-12-23,14
2012-12-30,32
