Category: All categories

Week,Jam: (Portugal)
2013-01-06,31
2013-01-13,30
2013-01-20,32
2013-01-27,34
2013-02-03,30
2013-02-10,47
2013-02-17,35
2013-02-24,30
2013-03-03,32
2013-03-10,45
2013-03-17,40
2013-03-24,64
2013-03-31,28
2013-04-07,28
2013-04-14,32
2013-04-21,28
2013-04-28,32
2013-05-05,25
2013-05-12,33
2013-05-19,32
2013-05-26,29
2013-06-02,27
2013-06-09,35
2013-06-16,30
2013-06-23,30
2013-06-30,31
2013-07-07,26
2013-07-14,31
2013-07-21,36
2013-07-28,39
2013-08-04,35
2013-08-11,38
2013-08-18,43
2013-08-25,52
2013-09-01,50
2013-09-08,61
2013-09-15,58
2013-09-22,60
2013-09-29,49
2013-10-06,55
2013-10-13,53
2013-10-20,52
2013-10-27,51
2013-11-03,53
2013-11-10,48
2013-11-17,47
2013-11-24,45
2013-12-01,44
2013-12-08,64
2013-12-15,76
2013-12-22,100
2013-12-29,57
