Category: All categories

Week,Energy: (Portugal),Vitamin: (Portugal)
2017-01-01,61,38
2017-01-08,86,42
2017-01-15,92,41
2017-01-22,82,41
2017-01-29,80,36
2017-02-05,81,31
2017-02-12,80,40
2017-02-19,81,41
2017-02-26,75,37
2017-03-05,88,45
2017-03-12,88,45
2017-03-19,84,49
2017-03-26,90,44
2017-04-02,67,43
2017-04-09,65,42
2017-04-16,67,45
2017-04-23,82,53
2017-04-30,85,43
2017-05-07,87,38
2017-05-14,86,45
2017-05-21,89,45
2017-05-28,100,41
2017-06-04,89,40
2017-06-11,80,36
2017-06-18,61,33
2017-06-25,61,38
2017-07-02,65,38
2017-07-09,57,45
2017-07-16,62,31
2017-07-23,48,44
2017-07-30,53,35
2017-08-06,48,30
2017-08-13,47,36
2017-08-20,51,35
2017-08-27,54,35
2017-09-03,55,41
2017-09-10,57,34
2017-09-17,60,40
2017-09-24,63,42
2017-10-01,64,33
2017-10-08,70,42
2017-10-15,74,40
2017-10-22,68,50
2017-10-29,65,43
2017-11-05,69,43
2017-11-12,87,43
2017-11-19,68,39
2017-11-26,75,37
2017-12-03,71,45
2017-12-10,75,38
2017-12-17,59,35
2017-12-24,67,32
2017-12-31,77,32
