Category: All categories

Week,T-shirt: (Portugal)
2009-01-04,53
2009-01-11,55
2009-01-18,60
2009-01-25,63
2009-02-01,52
2009-02-08,88
2009-02-15,44
2009-02-22,51
2009-03-01,46
2009-03-08,58
2009-03-15,88
2009-03-22,67
2009-03-29,67
2009-04-05,82
2009-04-12,64
2009-04-19,99
2009-04-26,66
2009-05-03,80
2009-05-10,82
2009-05-17,63
2009-05-24,87
2009-05-31,87
2009-06-07,79
2009-06-14,81
2009-06-21,83
2009-06-28,82
2009-07-05,88
2009-07-12,93
2009-07-19,70
2009-07-26,59
2009-08-02,100
2009-08-09,100
2009-08-16,87
2009-08-23,69
2009-08-30,52
2009-09-06,57
2009-09-13,85
2009-09-20,73
2009-09-27,68
2009-10-04,68
2009-10-11,72
2009-10-18,57
2009-10-25,55
2009-11-01,69
2009-11-08,65
2009-11-15,61
2009-11-22,41
2009-11-29,64
2009-12-06,60
2009-12-13,63
2009-12-20,60
2009-12-27,48
