Category: All categories

Week,Energy: (Portugal),Lawyer: (Portugal)
2015-01-04,88,65
2015-01-11,100,58
2015-01-18,93,63
2015-01-25,87,63
2015-02-01,76,64
2015-02-08,77,62
2015-02-15,67,57
2015-02-22,93,67
2015-03-01,83,56
2015-03-08,82,59
2015-03-15,82,75
2015-03-22,72,70
2015-03-29,56,46
2015-04-05,72,58
2015-04-12,81,58
2015-04-19,76,68
2015-04-26,71,61
2015-05-03,78,62
2015-05-10,82,67
2015-05-17,77,75
2015-05-24,81,65
2015-05-31,71,57
2015-06-07,74,54
2015-06-14,66,65
2015-06-21,55,60
2015-06-28,55,68
2015-07-05,49,66
2015-07-12,50,65
2015-07-19,50,62
2015-07-26,56,56
2015-08-02,42,45
2015-08-09,43,46
2015-08-16,47,46
2015-08-23,46,43
2015-08-30,52,60
2015-09-06,52,60
2015-09-13,51,57
2015-09-20,58,68
2015-09-27,63,65
2015-10-04,63,52
2015-10-11,66,66
2015-10-18,64,64
2015-10-25,69,61
2015-11-01,68,60
2015-11-08,63,63
2015-11-15,63,59
2015-11-22,68,60
2015-11-29,70,70
2015-12-06,60,54
2015-12-13,64,61
2015-12-20,40,39
2015-12-27,52,46
