Category: All categories

Week,Energy: (Portugal),Hairdresser: (Portugal)
2012-01-01,74,34
2012-01-08,85,34
2012-01-15,84,30
2012-01-22,81,34
2012-01-29,70,35
2012-02-05,81,34
2012-02-12,73,28
2012-02-19,64,36
2012-02-26,77,37
2012-03-04,77,38
2012-03-11,84,31
2012-03-18,81,33
2012-03-25,64,37
2012-04-01,53,39
2012-04-08,68,34
2012-04-15,89,34
2012-04-22,75,37
2012-04-29,81,37
2012-05-06,90,32
2012-05-13,97,30
2012-05-20,95,35
2012-05-27,100,36
2012-06-03,83,39
2012-06-10,77,39
2012-06-17,67,38
2012-06-24,72,41
2012-07-01,67,39
2012-07-08,60,38
2012-07-15,51,42
2012-07-22,46,38
2012-07-29,42,39
2012-08-05,42,45
2012-08-12,41,38
2012-08-19,45,39
2012-08-26,46,44
2012-09-02,46,44
2012-09-09,58,40
2012-09-16,66,36
2012-09-23,56,35
2012-09-30,52,38
2012-10-07,58,34
2012-10-14,61,30
2012-10-21,62,34
2012-10-28,63,32
2012-11-04,67,30
2012-11-11,63,29
2012-11-18,66,30
2012-11-25,71,31
2012-12-02,69,35
2012-12-09,67,31
2012-12-16,56,38
2012-12-23,64,38
2012-12-30,72,40
