Category: All categories

Week,Energy: (Portugal),Interior design: (Portugal)
2007-01-07,70,44
2007-01-14,70,50
2007-01-21,68,43
2007-01-28,71,45
2007-02-04,58,49
2007-02-11,59,44
2007-02-18,43,39
2007-02-25,62,43
2007-03-04,73,55
2007-03-11,66,41
2007-03-18,72,52
2007-03-25,53,50
2007-04-01,54,51
2007-04-08,83,40
2007-04-15,78,40
2007-04-22,79,51
2007-04-29,68,52
2007-05-06,100,46
2007-05-13,98,39
2007-05-20,92,54
2007-05-27,94,46
2007-06-03,93,47
2007-06-10,79,43
2007-06-17,49,46
2007-06-24,50,52
2007-07-01,44,39
2007-07-08,48,45
2007-07-15,40,46
2007-07-22,43,51
2007-07-29,36,34
2007-08-05,38,49
2007-08-12,38,52
2007-08-19,48,60
2007-08-26,36,44
2007-09-02,53,55
2007-09-09,45,56
2007-09-16,49,47
2007-09-23,68,46
2007-09-30,57,40
2007-10-07,70,49
2007-10-14,74,52
2007-10-21,71,48
2007-10-28,73,53
2007-11-04,83,47
2007-11-11,83,48
2007-11-18,78,45
2007-11-25,81,43
2007-12-02,78,38
2007-12-09,79,33
2007-12-16,46,28
2007-12-23,38,25
2007-12-30,53,39
