Category: All categories

Week,ebook: (Portugal)
2018-01-07,67
2018-01-14,89
2018-01-21,86
2018-01-28,69
2018-02-04,73
2018-02-11,94
2018-02-18,89
2018-02-25,72
2018-03-04,64
2018-03-11,68
2018-03-18,90
2018-03-25,61
2018-04-01,86
2018-04-08,86
2018-04-15,52
2018-04-22,49
2018-04-29,53
2018-05-06,65
2018-05-13,70
2018-05-20,68
2018-05-27,61
2018-06-03,44
2018-06-10,72
2018-06-17,60
2018-06-24,58
2018-07-01,66
2018-07-08,60
2018-07-15,70
2018-07-22,52
2018-07-29,81
2018-08-05,67
2018-08-12,92
2018-08-19,79
2018-08-26,44
2018-09-02,76
2018-09-09,54
2018-09-16,61
2018-09-23,66
2018-09-30,74
2018-10-07,79
2018-10-14,86
2018-10-21,74
2018-10-28,81
2018-11-04,82
2018-11-11,79
2018-11-18,75
2018-11-25,100
2018-12-02,70
2018-12-09,66
2018-12-16,72
2018-12-23,81
2018-12-30,64
