Category: All categories

Week,Energy: (Portugal),Novel: (Portugal)
2017-01-01,62,19
2017-01-08,86,13
2017-01-15,94,15
2017-01-22,82,11
2017-01-29,79,18
2017-02-05,81,16
2017-02-12,78,15
2017-02-19,81,14
2017-02-26,78,17
2017-03-05,86,20
2017-03-12,87,14
2017-03-19,80,20
2017-03-26,89,13
2017-04-02,67,18
2017-04-09,66,19
2017-04-16,67,16
2017-04-23,77,16
2017-04-30,84,16
2017-05-07,87,18
2017-05-14,86,15
2017-05-21,86,9
2017-05-28,100,17
2017-06-04,91,17
2017-06-11,79,20
2017-06-18,58,18
2017-06-25,60,16
2017-07-02,65,14
2017-07-09,58,19
2017-07-16,62,19
2017-07-23,51,15
2017-07-30,53,18
2017-08-06,48,15
2017-08-13,46,16
2017-08-20,52,14
2017-08-27,53,15
2017-09-03,52,13
2017-09-10,55,14
2017-09-17,61,14
2017-09-24,62,13
2017-10-01,60,14
2017-10-08,69,19
2017-10-15,73,14
2017-10-22,67,14
2017-10-29,66,16
2017-11-05,70,16
2017-11-12,87,15
2017-11-19,67,15
2017-11-26,74,17
2017-12-03,70,14
2017-12-10,75,15
2017-12-17,57,14
2017-12-24,67,16
2017-12-31,78,12
