Category: All categories

Week,Energy: (Portugal),T-shirt: (Portugal)
2008-01-06,71,15
2008-01-13,66,11
2008-01-20,61,14
2008-01-27,62,12
2008-02-03,54,13
2008-02-10,61,14
2008-02-17,73,15
2008-02-24,73,15
2008-03-02,72,9
2008-03-09,60,12
2008-03-16,53,14
2008-03-23,47,14
2008-03-30,74,23
2008-04-06,68,14
2008-04-13,68,19
2008-04-20,82,13
2008-04-27,66,19
2008-05-04,89,19
2008-05-11,82,19
2008-05-18,90,13
2008-05-25,100,16
2008-06-01,95,20
2008-06-08,76,18
2008-06-15,69,19
2008-06-22,55,19
2008-06-29,50,19
2008-07-06,51,24
2008-07-13,60,15
2008-07-20,35,17
2008-07-27,31,16
2008-08-03,34,17
2008-08-10,28,16
2008-08-17,38,14
2008-08-24,32,15
2008-08-31,36,17
2008-09-07,39,14
2008-09-14,52,14
2008-09-21,59,16
2008-09-28,61,14
2008-10-05,66,14
2008-10-12,60,12
2008-10-19,58,14
2008-10-26,59,12
2008-11-02,53,9
2008-11-09,65,14
2008-11-16,72,12
2008-11-23,61,10
2008-11-30,57,15
2008-12-07,54,13
2008-12-14,63,11
2008-12-21,40,11
2008-12-28,51,10
