Category: All categories

Week,Restaurant: (Portugal)
2016-01-03,42
2016-01-10,40
2016-01-17,42
2016-01-24,44
2016-01-31,48
2016-02-07,53
2016-02-14,51
2016-02-21,50
2016-02-28,47
2016-03-06,48
2016-03-13,46
2016-03-20,58
2016-03-27,49
2016-04-03,46
2016-04-10,46
2016-04-17,50
2016-04-24,57
2016-05-01,46
2016-05-08,44
2016-05-15,51
2016-05-22,59
2016-05-29,49
2016-06-05,48
2016-06-12,46
2016-06-19,49
2016-06-26,49
2016-07-03,53
2016-07-10,57
2016-07-17,58
2016-07-24,63
2016-07-31,67
2016-08-07,73
2016-08-14,76
2016-08-21,78
2016-08-28,66
2016-09-04,60
2016-09-11,56
2016-09-18,51
2016-09-25,54
2016-10-02,63
2016-10-09,55
2016-10-16,51
2016-10-23,51
2016-10-30,57
2016-11-06,50
2016-11-13,54
2016-11-20,55
2016-11-27,57
2016-12-04,66
2016-12-11,61
2016-12-18,55
2016-12-25,72
2017-01-01,55
2017-01-08,49
2017-01-15,51
2017-01-22,57
2017-01-29,51
2017-02-05,59
2017-02-12,64
2017-02-19,59
2017-02-26,60
2017-03-05,52
2017-03-12,57
2017-03-19,62
2017-03-26,49
2017-04-02,60
2017-04-09,73
2017-04-16,60
2017-04-23,64
2017-04-30,69
2017-05-07,58
2017-05-14,67
2017-05-21,62
2017-05-28,62
2017-06-04,64
2017-06-11,65
2017-06-18,51
2017-06-25,67
2017-07-02,84
2017-07-09,71
2017-07-16,74
2017-07-23,75
2017-07-30,83
2017-08-06,86
2017-08-13,100
2017-08-20,86
2017-08-27,72
2017-09-03,75
2017-09-10,73
2017-09-17,69
2017-09-24,71
2017-10-01,67
2017-10-08,62
2017-10-15,56
2017-10-22,62
2017-10-29,68
2017-11-05,58
2017-11-12,61
2017-11-19,57
2017-11-26,66
2017-12-03,73
2017-12-10,65
2017-12-17,68
2017-12-24,83
2017-12-31,69
