Category: All categories

Week,Energy: (Portugal),ebook: (Portugal)
2017-01-01,62,13
2017-01-08,86,13
2017-01-15,94,14
2017-01-22,82,13
2017-01-29,79,14
2017-02-05,81,12
2017-02-12,78,11
2017-02-19,81,10
2017-02-26,78,12
2017-03-05,86,10
2017-03-12,87,13
2017-03-19,80,12
2017-03-26,89,15
2017-04-02,67,9
2017-04-09,66,10
2017-04-16,67,11
2017-04-23,77,15
2017-04-30,84,8
2017-05-07,87,11
2017-05-14,86,11
2017-05-21,86,10
2017-05-28,100,12
2017-06-04,91,12
2017-06-11,79,12
2017-06-18,58,6
2017-06-25,60,10
2017-07-02,65,9
2017-07-09,58,12
2017-07-16,62,13
2017-07-23,51,9
2017-07-30,53,14
2017-08-06,48,14
2017-08-13,46,14
2017-08-20,52,12
2017-08-27,53,16
2017-09-03,52,11
2017-09-10,55,13
2017-09-17,61,10
2017-09-24,62,12
2017-10-01,60,12
2017-10-08,69,11
2017-10-15,73,14
2017-10-22,67,13
2017-10-29,66,11
2017-11-05,70,9
2017-11-12,87,11
2017-11-19,67,12
2017-11-26,74,11
2017-12-03,70,10
2017-12-10,75,13
2017-12-17,57,11
2017-12-24,67,5
2017-12-31,78,10
