Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2015-01-04,88,60
2015-01-11,100,66
2015-01-18,92,68
2015-01-25,87,70
2015-02-01,77,68
2015-02-08,77,67
2015-02-15,67,70
2015-02-22,93,61
2015-03-01,83,60
2015-03-08,82,64
2015-03-15,81,65
2015-03-22,73,65
2015-03-29,57,63
2015-04-05,72,58
2015-04-12,81,66
2015-04-19,76,65
2015-04-26,71,67
2015-05-03,77,64
2015-05-10,82,63
2015-05-17,77,64
2015-05-24,82,62
2015-05-31,71,56
2015-06-07,74,59
2015-06-14,66,57
2015-06-21,56,55
2015-06-28,55,50
2015-07-05,50,64
2015-07-12,50,68
2015-07-19,50,64
2015-07-26,56,62
2015-08-02,41,62
2015-08-09,43,64
2015-08-16,46,65
2015-08-23,46,69
2015-08-30,53,71
2015-09-06,52,70
2015-09-13,50,70
2015-09-20,58,67
2015-09-27,63,62
2015-10-04,63,68
2015-10-11,66,69
2015-10-18,64,74
2015-10-25,68,69
2015-11-01,69,63
2015-11-08,63,58
2015-11-15,64,66
2015-11-22,68,62
2015-11-29,71,57
2015-12-06,60,59
2015-12-13,64,54
2015-12-20,40,46
2015-12-27,51,64
