Category: All categories

Week,Furniture: (Portugal)
2008-01-06,80
2008-01-13,100
2008-01-20,91
2008-01-27,78
2008-02-03,77
2008-02-10,68
2008-02-17,76
2008-02-24,73
2008-03-02,84
2008-03-09,80
2008-03-16,82
2008-03-23,84
2008-03-30,62
2008-04-06,81
2008-04-13,78
2008-04-20,65
2008-04-27,72
2008-05-04,61
2008-05-11,78
2008-05-18,71
2008-05-25,77
2008-06-01,69
2008-06-08,67
2008-06-15,52
2008-06-22,57
2008-06-29,60
2008-07-06,64
2008-07-13,71
2008-07-20,74
2008-07-27,73
2008-08-03,76
2008-08-10,70
2008-08-17,81
2008-08-24,94
2008-08-31,74
2008-09-07,75
2008-09-14,69
2008-09-21,68
2008-09-28,62
2008-10-05,74
2008-10-12,71
2008-10-19,68
2008-10-26,69
2008-11-02,60
2008-11-09,62
2008-11-16,62
2008-11-23,70
2008-11-30,54
2008-12-07,46
2008-12-14,56
2008-12-21,47
2008-12-28,50
