Category: All categories

Week,Energy: (Portugal),Novel: (Portugal)
2008-01-06,70,2
2008-01-13,69,0
2008-01-20,61,3
2008-01-27,63,4
2008-02-03,54,2
2008-02-10,61,4
2008-02-17,73,3
2008-02-24,73,3
2008-03-02,69,1
2008-03-09,63,4
2008-03-16,52,0
2008-03-23,52,1
2008-03-30,74,4
2008-04-06,66,1
2008-04-13,69,0
2008-04-20,72,7
2008-04-27,67,2
2008-05-04,91,0
2008-05-11,80,3
2008-05-18,88,4
2008-05-25,100,1
2008-06-01,94,1
2008-06-08,75,4
2008-06-15,69,3
2008-06-22,60,5
2008-06-29,53,3
2008-07-06,50,2
2008-07-13,56,0
2008-07-20,34,3
2008-07-27,30,3
2008-08-03,38,2
2008-08-10,28,0
2008-08-17,37,3
2008-08-24,34,2
2008-08-31,36,2
2008-09-07,41,1
2008-09-14,53,0
2008-09-21,59,2
2008-09-28,60,4
2008-10-05,66,0
2008-10-12,57,2
2008-10-19,55,4
2008-10-26,59,3
2008-11-02,54,7
2008-11-09,63,0
2008-11-16,73,2
2008-11-23,61,3
2008-11-30,57,2
2008-12-07,54,1
2008-12-14,61,0
2008-12-21,40,2
2008-12-28,47,2
