Category: All categories

Week,Energy: (Portugal),Renovation: (Portugal)
2018-01-07,83,4
2018-01-14,83,3
2018-01-21,84,8
2018-01-28,76,7
2018-02-04,73,5
2018-02-11,70,6
2018-02-18,81,6
2018-02-25,79,7
2018-03-04,82,6
2018-03-11,91,4
2018-03-18,83,7
2018-03-25,83,6
2018-04-01,82,5
2018-04-08,81,6
2018-04-15,87,2
2018-04-22,85,6
2018-04-29,87,7
2018-05-06,78,7
2018-05-13,79,8
2018-05-20,93,7
2018-05-27,78,6
2018-06-03,100,3
2018-06-10,81,6
2018-06-17,64,5
2018-06-24,57,7
2018-07-01,56,3
2018-07-08,54,8
2018-07-15,57,5
2018-07-22,56,5
2018-07-29,58,4
2018-08-05,49,3
2018-08-12,50,8
2018-08-19,55,7
2018-08-26,53,2
2018-09-02,59,8
2018-09-09,54,7
2018-09-16,58,7
2018-09-23,75,6
2018-09-30,66,6
2018-10-07,87,10
2018-10-14,73,10
2018-10-21,79,7
2018-10-28,66,4
2018-11-04,73,10
2018-11-11,74,8
2018-11-18,77,4
2018-11-25,80,9
2018-12-02,83,8
2018-12-09,66,8
2018-12-16,58,6
2018-12-23,50,9
2018-12-30,64,11
