Category: All categories

Week,Energy: (Portugal),Petroleum: (Portugal)
2008-01-06,70,12
2008-01-13,69,10
2008-01-20,61,11
2008-01-27,63,5
2008-02-03,54,9
2008-02-10,61,11
2008-02-17,73,14
2008-02-24,73,10
2008-03-02,69,11
2008-03-09,63,12
2008-03-16,52,12
2008-03-23,52,13
2008-03-30,74,9
2008-04-06,66,13
2008-04-13,69,10
2008-04-20,72,13
2008-04-27,67,10
2008-05-04,91,15
2008-05-11,80,16
2008-05-18,88,23
2008-05-25,100,31
2008-06-01,94,27
2008-06-08,75,17
2008-06-15,69,14
2008-06-22,60,9
2008-06-29,53,12
2008-07-06,50,14
2008-07-13,56,11
2008-07-20,34,16
2008-07-27,30,17
2008-08-03,38,17
2008-08-10,28,11
2008-08-17,37,10
2008-08-24,34,9
2008-08-31,36,8
2008-09-07,41,14
2008-09-14,53,12
2008-09-21,59,13
2008-09-28,60,10
2008-10-05,66,13
2008-10-12,57,15
2008-10-19,55,15
2008-10-26,59,11
2008-11-02,54,15
2008-11-09,63,10
2008-11-16,73,12
2008-11-23,61,13
2008-11-30,57,7
2008-12-07,54,12
2008-12-14,61,9
2008-12-21,40,5
2008-12-28,47,7
