Category: All categories

Week,Energy: (Portugal),Travel agency: (Portugal)
2011-01-02,66,21
2011-01-09,82,21
2011-01-16,79,25
2011-01-23,77,22
2011-01-30,74,16
2011-02-06,81,19
2011-02-13,72,21
2011-02-20,83,22
2011-02-27,76,17
2011-03-06,64,17
2011-03-13,87,17
2011-03-20,80,20
2011-03-27,76,18
2011-04-03,69,17
2011-04-10,53,19
2011-04-17,58,14
2011-04-24,73,20
2011-05-01,82,24
2011-05-08,83,18
2011-05-15,93,19
2011-05-22,100,23
2011-05-29,98,23
2011-06-05,89,23
2011-06-12,98,21
2011-06-19,80,25
2011-06-26,100,25
2011-07-03,83,17
2011-07-10,81,22
2011-07-17,92,22
2011-07-24,78,24
2011-07-31,56,24
2011-08-07,46,17
2011-08-14,43,18
2011-08-21,52,20
2011-08-28,44,13
2011-09-04,52,13
2011-09-11,49,14
2011-09-18,58,15
2011-09-25,61,13
2011-10-02,65,8
2011-10-09,61,14
2011-10-16,73,11
2011-10-23,64,9
2011-10-30,58,9
2011-11-06,68,8
2011-11-13,71,12
2011-11-20,65,10
2011-11-27,62,11
2011-12-04,58,11
2011-12-11,67,9
2011-12-18,40,7
2011-12-25,51,10
