Category: All categories

Week,Mobile phone: (Portugal)
2017-01-01,97
2017-01-08,84
2017-01-15,79
2017-01-22,82
2017-01-29,83
2017-02-05,82
2017-02-12,73
2017-02-19,80
2017-02-26,79
2017-03-05,78
2017-03-12,76
2017-03-19,74
2017-03-26,75
2017-04-02,70
2017-04-09,71
2017-04-16,74
2017-04-23,72
2017-04-30,70
2017-05-07,71
2017-05-14,72
2017-05-21,71
2017-05-28,74
2017-06-04,74
2017-06-11,76
2017-06-18,72
2017-06-25,86
2017-07-02,84
2017-07-09,75
2017-07-16,81
2017-07-23,86
2017-07-30,88
2017-08-06,87
2017-08-13,94
2017-08-20,95
2017-08-27,87
2017-09-03,85
2017-09-10,86
2017-09-17,80
2017-09-24,81
2017-10-01,81
2017-10-08,73
2017-10-15,71
2017-10-22,78
2017-10-29,84
2017-11-05,88
2017-11-12,81
2017-11-19,84
2017-11-26,82
2017-12-03,92
2017-12-10,92
2017-12-17,90
2017-12-24,100
2017-12-31,87
