Category: All categories

Week,Electricity: (Portugal)
2017-01-01,76
2017-01-08,67
2017-01-15,98
2017-01-22,78
2017-01-29,79
2017-02-05,72
2017-02-12,71
2017-02-19,65
2017-02-26,65
2017-03-05,79
2017-03-12,72
2017-03-19,76
2017-03-26,74
2017-04-02,58
2017-04-09,65
2017-04-16,57
2017-04-23,69
2017-04-30,75
2017-05-07,65
2017-05-14,68
2017-05-21,67
2017-05-28,72
2017-06-04,76
2017-06-11,68
2017-06-18,55
2017-06-25,56
2017-07-02,62
2017-07-09,56
2017-07-16,58
2017-07-23,48
2017-07-30,58
2017-08-06,54
2017-08-13,59
2017-08-20,55
2017-08-27,63
2017-09-03,52
2017-09-10,65
2017-09-17,64
2017-09-24,66
2017-10-01,61
2017-10-08,60
2017-10-15,67
2017-10-22,63
2017-10-29,69
2017-11-05,76
2017-11-12,79
2017-11-19,68
2017-11-26,80
2017-12-03,79
2017-12-10,70
2017-12-17,71
2017-12-24,93
2017-12-31,85
2018-01-07,86
2018-01-14,74
2018-01-21,76
2018-01-28,90
2018-02-04,83
2018-02-11,75
2018-02-18,75
2018-02-25,79
2018-03-04,85
2018-03-11,78
2018-03-18,84
2018-03-25,68
2018-04-01,71
2018-04-08,70
2018-04-15,68
2018-04-22,64
2018-04-29,76
2018-05-06,74
2018-05-13,74
2018-05-20,66
2018-05-27,69
2018-06-03,71
2018-06-10,66
2018-06-17,56
2018-06-24,58
2018-07-01,58
2018-07-08,63
2018-07-15,58
2018-07-22,68
2018-07-29,80
2018-08-05,74
2018-08-12,66
2018-08-19,64
2018-08-26,68
2018-09-02,61
2018-09-09,67
2018-09-16,74
2018-09-23,78
2018-09-30,76
2018-10-07,86
2018-10-14,100
2018-10-21,92
2018-10-28,95
2018-11-04,81
2018-11-11,86
2018-11-18,86
2018-11-25,89
2018-12-02,79
2018-12-09,70
2018-12-16,93
2018-12-23,82
2018-12-30,90
