Category: All categories

Week,Mobile phone: (Portugal)
2010-01-03,100
2010-01-10,80
2010-01-17,78
2010-01-24,78
2010-01-31,68
2010-02-07,73
2010-02-14,75
2010-02-21,69
2010-02-28,70
2010-03-07,68
2010-03-14,71
2010-03-21,62
2010-03-28,71
2010-04-04,66
2010-04-11,65
2010-04-18,62
2010-04-25,63
2010-05-02,66
2010-05-09,74
2010-05-16,67
2010-05-23,64
2010-05-30,60
2010-06-06,68
2010-06-13,65
2010-06-20,63
2010-06-27,77
2010-07-04,74
2010-07-11,74
2010-07-18,76
2010-07-25,74
2010-08-01,78
2010-08-08,78
2010-08-15,82
2010-08-22,79
2010-08-29,79
2010-09-05,72
2010-09-12,70
2010-09-19,71
2010-09-26,67
2010-10-03,66
2010-10-10,63
2010-10-17,62
2010-10-24,65
2010-10-31,68
2010-11-07,68
2010-11-14,65
2010-11-21,68
2010-11-28,70
2010-12-05,75
2010-12-12,76
2010-12-19,88
2010-12-26,85
