Category: All categories

Week,Vitamin: (Portugal)
2017-01-01,69
2017-01-08,76
2017-01-15,79
2017-01-22,75
2017-01-29,65
2017-02-05,66
2017-02-12,70
2017-02-19,75
2017-02-26,70
2017-03-05,80
2017-03-12,80
2017-03-19,92
2017-03-26,78
2017-04-02,74
2017-04-09,73
2017-04-16,79
2017-04-23,100
2017-04-30,76
2017-05-07,67
2017-05-14,86
2017-05-21,85
2017-05-28,74
2017-06-04,67
2017-06-11,64
2017-06-18,58
2017-06-25,65
2017-07-02,72
2017-07-09,79
2017-07-16,56
2017-07-23,71
2017-07-30,60
2017-08-06,59
2017-08-13,63
2017-08-20,63
2017-08-27,60
2017-09-03,69
2017-09-10,62
2017-09-17,72
2017-09-24,76
2017-10-01,57
2017-10-08,74
2017-10-15,70
2017-10-22,85
2017-10-29,79
2017-11-05,71
2017-11-12,74
2017-11-19,72
2017-11-26,67
2017-12-03,75
2017-12-10,66
2017-12-17,65
2017-12-24,60
2017-12-31,59
