Category: All categories

Week,Energy: (Portugal),Renovation: (Portugal)
2011-01-02,66,2
2011-01-09,82,2
2011-01-16,81,1
2011-01-23,79,2
2011-01-30,74,0
2011-02-06,81,2
2011-02-13,70,1
2011-02-20,81,1
2011-02-27,76,2
2011-03-06,65,0
2011-03-13,86,2
2011-03-20,78,1
2011-03-27,75,3
2011-04-03,70,1
2011-04-10,53,2
2011-04-17,61,2
2011-04-24,72,0
2011-05-01,78,2
2011-05-08,83,1
2011-05-15,93,1
2011-05-22,100,1
2011-05-29,96,0
2011-06-05,89,0
2011-06-12,97,0
2011-06-19,79,0
2011-06-26,99,0
2011-07-03,80,0
2011-07-10,78,2
2011-07-17,90,0
2011-07-24,75,2
2011-07-31,57,3
2011-08-07,47,0
2011-08-14,45,1
2011-08-21,48,1
2011-08-28,44,2
2011-09-04,47,0
2011-09-11,49,1
2011-09-18,59,1
2011-09-25,64,2
2011-10-02,63,1
2011-10-09,63,2
2011-10-16,72,5
2011-10-23,63,1
2011-10-30,59,2
2011-11-06,67,2
2011-11-13,71,1
2011-11-20,66,2
2011-11-27,62,1
2011-12-04,57,1
2011-12-11,62,3
2011-12-18,39,0
2011-12-25,51,2
