Category: All categories

Week,T-shirt: (Portugal)
2006-01-01,16
2006-01-08,35
2006-01-15,48
2006-01-22,31
2006-01-29,41
2006-02-05,46
2006-02-12,46
2006-02-19,25
2006-02-26,34
2006-03-05,37
2006-03-12,66
2006-03-19,39
2006-03-26,42
2006-04-02,65
2006-04-09,92
2006-04-16,39
2006-04-23,61
2006-04-30,64
2006-05-07,26
2006-05-14,63
2006-05-21,63
2006-05-28,71
2006-06-04,53
2006-06-11,64
2006-06-18,87
2006-06-25,56
2006-07-02,83
2006-07-09,67
2006-07-16,95
2006-07-23,50
2006-07-30,74
2006-08-06,48
2006-08-13,100
2006-08-20,75
2006-08-27,46
2006-09-03,40
2006-09-10,56
2006-09-17,50
2006-09-24,52
2006-10-01,57
2006-10-08,44
2006-10-15,36
2006-10-22,49
2006-10-29,38
2006-11-05,29
2006-11-12,36
2006-11-19,33
2006-11-26,15
2006-12-03,40
2006-12-10,22
2006-12-17,36
2006-12-24,53
2006-12-31,36
2007-01-07,31
2007-01-14,41
2007-01-21,30
2007-01-28,35
2007-02-04,51
2007-02-11,44
2007-02-18,23
2007-02-25,34
2007-03-04,44
2007-03-11,57
2007-03-18,47
2007-03-25,57
2007-04-01,32
2007-04-08,51
2007-04-15,71
2007-04-22,41
2007-04-29,69
2007-05-06,58
2007-05-13,47
2007-05-20,52
2007-05-27,70
2007-06-03,52
2007-06-10,63
2007-06-17,70
2007-06-24,60
2007-07-01,76
2007-07-08,45
2007-07-15,68
2007-07-22,52
2007-07-29,51
2007-08-05,44
2007-08-12,45
2007-08-19,61
2007-08-26,49
2007-09-02,56
2007-09-09,52
2007-09-16,56
2007-09-23,39
2007-09-30,43
2007-10-07,47
2007-10-14,36
2007-10-21,33
2007-10-28,44
2007-11-04,49
2007-11-11,34
2007-11-18,38
2007-11-25,54
2007-12-02,41
2007-12-09,58
2007-12-16,34
2007-12-23,25
2007-12-30,60
