Category: All categories

Week,Restaurant: (Portugal)
2010-01-03,60
2010-01-10,59
2010-01-17,64
2010-01-24,69
2010-01-31,67
2010-02-07,87
2010-02-14,70
2010-02-21,68
2010-02-28,80
2010-03-07,65
2010-03-14,62
2010-03-21,62
2010-03-28,70
2010-04-04,69
2010-04-11,59
2010-04-18,62
2010-04-25,72
2010-05-02,65
2010-05-09,64
2010-05-16,69
2010-05-23,68
2010-05-30,71
2010-06-06,64
2010-06-13,68
2010-06-20,65
2010-06-27,66
2010-07-04,69
2010-07-11,71
2010-07-18,71
2010-07-25,72
2010-08-01,77
2010-08-08,78
2010-08-15,87
2010-08-22,83
2010-08-29,80
2010-09-05,71
2010-09-12,77
2010-09-19,90
2010-09-26,78
2010-10-03,70
2010-10-10,68
2010-10-17,66
2010-10-24,71
2010-10-31,65
2010-11-07,66
2010-11-14,72
2010-11-21,76
2010-11-28,84
2010-12-05,90
2010-12-12,95
2010-12-19,79
2010-12-26,100
2011-01-02,62
2011-01-09,61
2011-01-16,66
2011-01-23,69
2011-01-30,68
2011-02-06,82
2011-02-13,93
2011-02-20,70
2011-02-27,68
2011-03-06,68
2011-03-13,66
2011-03-20,62
2011-03-27,69
2011-04-03,66
2011-04-10,60
2011-04-17,72
2011-04-24,68
2011-05-01,65
2011-05-08,62
2011-05-15,64
2011-05-22,65
2011-05-29,68
2011-06-05,66
2011-06-12,64
2011-06-19,65
2011-06-26,60
2011-07-03,68
2011-07-10,76
2011-07-17,72
2011-07-24,76
2011-07-31,79
2011-08-07,80
2011-08-14,85
2011-08-21,76
2011-08-28,75
2011-09-04,81
2011-09-11,68
2011-09-18,79
2011-09-25,80
2011-10-02,70
2011-10-09,66
2011-10-16,62
2011-10-23,66
2011-10-30,66
2011-11-06,63
2011-11-13,64
2011-11-20,72
2011-11-27,79
2011-12-04,82
2011-12-11,93
2011-12-18,74
2011-12-25,99
