Category: All categories

Week,Petroleum: (Portugal)
2017-01-01,94
2017-01-08,84
2017-01-15,75
2017-01-22,96
2017-01-29,84
2017-02-05,97
2017-02-12,76
2017-02-19,71
2017-02-26,52
2017-03-05,91
2017-03-12,75
2017-03-19,88
2017-03-26,82
2017-04-02,80
2017-04-09,78
2017-04-16,84
2017-04-23,84
2017-04-30,82
2017-05-07,85
2017-05-14,79
2017-05-21,78
2017-05-28,98
2017-06-04,100
2017-06-11,68
2017-06-18,64
2017-06-25,79
2017-07-02,76
2017-07-09,75
2017-07-16,60
2017-07-23,79
2017-07-30,74
2017-08-06,64
2017-08-13,53
2017-08-20,44
2017-08-27,75
2017-09-03,57
2017-09-10,62
2017-09-17,71
2017-09-24,96
2017-10-01,55
2017-10-08,81
2017-10-15,59
2017-10-22,47
2017-10-29,57
2017-11-05,69
2017-11-12,79
2017-11-19,63
2017-11-26,67
2017-12-03,84
2017-12-10,67
2017-12-17,51
2017-12-24,45
2017-12-31,70
