Category: All categories

Week,Fur: (Portugal)
2011-01-02,48
2011-01-09,60
2011-01-16,0
2011-01-23,44
2011-01-30,50
2011-02-06,100
2011-02-13,27
2011-02-20,20
2011-02-27,25
2011-03-06,32
2011-03-13,0
2011-03-20,31
2011-03-27,54
2011-04-03,40
2011-04-10,50
2011-04-17,62
2011-04-24,58
2011-05-01,20
2011-05-08,40
2011-05-15,16
2011-05-22,80
2011-05-29,0
2011-06-05,36
2011-06-12,0
2011-06-19,32
2011-06-26,53
2011-07-03,53
2011-07-10,0
2011-07-17,42
2011-07-24,37
2011-07-31,0
2011-08-07,31
2011-08-14,35
2011-08-21,63
2011-08-28,43
2011-09-04,41
2011-09-11,50
2011-09-18,20
2011-09-25,52
2011-10-02,40
2011-10-09,56
2011-10-16,25
2011-10-23,22
2011-10-30,0
2011-11-06,76
2011-11-13,88
2011-11-20,64
2011-11-27,61
2011-12-04,61
2011-12-11,39
2011-12-18,0
2011-12-25,0
2012-01-01,38
2012-01-08,42
2012-01-15,20
2012-01-22,56
2012-01-29,74
2012-02-05,48
2012-02-12,92
2012-02-19,13
2012-02-26,57
2012-03-04,31
2012-03-11,54
2012-03-18,33
2012-03-25,27
2012-04-01,29
2012-04-08,64
2012-04-15,63
2012-04-22,45
2012-04-29,31
2012-05-06,42
2012-05-13,30
2012-05-20,54
2012-05-27,23
2012-06-03,29
2012-06-10,18
2012-06-17,15
2012-06-24,53
2012-07-01,38
2012-07-08,43
2012-07-15,56
2012-07-22,18
2012-07-29,43
2012-08-05,48
2012-08-12,51
2012-08-19,29
2012-08-26,67
2012-09-02,99
2012-09-09,55
2012-09-16,50
2012-09-23,52
2012-09-30,42
2012-10-07,48
2012-10-14,63
2012-10-21,38
2012-10-28,0
2012-11-04,56
2012-11-11,63
2012-11-18,56
2012-11-25,59
2012-12-02,35
2012-12-09,41
2012-12-16,50
2012-12-23,68
2012-12-30,88
