Category: All categories

Week,Electricity: (Portugal)
2015-01-04,100
2015-01-11,87
2015-01-18,92
2015-01-25,78
2015-02-01,85
2015-02-08,70
2015-02-15,80
2015-02-22,79
2015-03-01,79
2015-03-08,74
2015-03-15,71
2015-03-22,60
2015-03-29,56
2015-04-05,60
2015-04-12,65
2015-04-19,67
2015-04-26,52
2015-05-03,67
2015-05-10,69
2015-05-17,64
2015-05-24,77
2015-05-31,52
2015-06-07,50
2015-06-14,56
2015-06-21,57
2015-06-28,54
2015-07-05,46
2015-07-12,49
2015-07-19,58
2015-07-26,46
2015-08-02,45
2015-08-09,54
2015-08-16,51
2015-08-23,39
2015-08-30,58
2015-09-06,52
2015-09-13,61
2015-09-20,65
2015-09-27,53
2015-10-04,53
2015-10-11,56
2015-10-18,65
2015-10-25,63
2015-11-01,67
2015-11-08,65
2015-11-15,64
2015-11-22,66
2015-11-29,70
2015-12-06,64
2015-12-13,49
2015-12-20,61
2015-12-27,60
