Category: All categories

Week,Energy: (Portugal),Television: (Portugal)
2010-01-03,13,65
2010-01-10,14,67
2010-01-17,14,74
2010-01-24,14,70
2010-01-31,14,66
2010-02-07,13,67
2010-02-14,10,76
2010-02-21,14,86
2010-02-28,13,78
2010-03-07,13,70
2010-03-14,13,77
2010-03-21,12,75
2010-03-28,8,70
2010-04-04,11,73
2010-04-11,14,82
2010-04-18,17,68
2010-04-25,14,62
2010-05-02,16,88
2010-05-09,15,77
2010-05-16,19,57
2010-05-23,19,57
2010-05-30,16,56
2010-06-06,13,86
2010-06-13,9,100
2010-06-20,8,92
2010-06-27,9,63
2010-07-04,9,55
2010-07-11,7,59
2010-07-18,6,61
2010-07-25,9,61
2010-08-01,8,76
2010-08-08,7,54
2010-08-15,7,70
2010-08-22,7,67
2010-08-29,6,61
2010-09-05,7,59
2010-09-12,10,64
2010-09-19,10,79
2010-09-26,10,69
2010-10-03,9,79
2010-10-10,11,64
2010-10-17,9,76
2010-10-24,11,79
2010-10-31,12,73
2010-11-07,12,88
2010-11-14,13,65
2010-11-21,11,81
2010-11-28,11,87
2010-12-05,11,66
2010-12-12,10,70
2010-12-19,6,64
2010-12-26,5,60
