Category: All categories

Week,Hairdresser: (Portugal)
2016-01-03,58
2016-01-10,62
2016-01-17,62
2016-01-24,72
2016-01-31,70
2016-02-07,67
2016-02-14,63
2016-02-21,69
2016-02-28,78
2016-03-06,77
2016-03-13,69
2016-03-20,75
2016-03-27,74
2016-04-03,71
2016-04-10,72
2016-04-17,62
2016-04-24,72
2016-05-01,65
2016-05-08,75
2016-05-15,75
2016-05-22,80
2016-05-29,79
2016-06-05,70
2016-06-12,77
2016-06-19,70
2016-06-26,84
2016-07-03,76
2016-07-10,89
2016-07-17,80
2016-07-24,90
2016-07-31,99
2016-08-07,91
2016-08-14,85
2016-08-21,90
2016-08-28,96
2016-09-04,85
2016-09-11,87
2016-09-18,79
2016-09-25,80
2016-10-02,78
2016-10-09,76
2016-10-16,73
2016-10-23,74
2016-10-30,69
2016-11-06,71
2016-11-13,55
2016-11-20,70
2016-11-27,65
2016-12-04,70
2016-12-11,79
2016-12-18,82
2016-12-25,80
2017-01-01,67
2017-01-08,74
2017-01-15,70
2017-01-22,71
2017-01-29,72
2017-02-05,74
2017-02-12,79
2017-02-19,69
2017-02-26,76
2017-03-05,75
2017-03-12,65
2017-03-19,68
2017-03-26,62
2017-04-02,78
2017-04-09,85
2017-04-16,64
2017-04-23,85
2017-04-30,83
2017-05-07,75
2017-05-14,82
2017-05-21,73
2017-05-28,86
2017-06-04,90
2017-06-11,84
2017-06-18,83
2017-06-25,76
2017-07-02,85
2017-07-09,80
2017-07-16,81
2017-07-23,92
2017-07-30,84
2017-08-06,100
2017-08-13,89
2017-08-20,82
2017-08-27,86
2017-09-03,93
2017-09-10,99
2017-09-17,85
2017-09-24,82
2017-10-01,85
2017-10-08,78
2017-10-15,71
2017-10-22,68
2017-10-29,68
2017-11-05,74
2017-11-12,68
2017-11-19,68
2017-11-26,77
2017-12-03,70
2017-12-10,78
2017-12-17,79
2017-12-24,86
2017-12-31,85
