Category: All categories

Week,Energy: (Portugal),Hairdresser: (Portugal)
2014-01-05,85,33
2014-01-12,80,39
2014-01-19,80,37
2014-01-26,82,39
2014-02-02,73,35
2014-02-09,80,33
2014-02-16,71,40
2014-02-23,76,44
2014-03-02,68,38
2014-03-09,72,31
2014-03-16,81,36
2014-03-23,86,32
2014-03-30,77,43
2014-04-06,62,41
2014-04-13,61,37
2014-04-20,67,39
2014-04-27,67,41
2014-05-04,79,34
2014-05-11,86,34
2014-05-18,99,33
2014-05-25,100,35
2014-06-01,97,40
2014-06-08,88,32
2014-06-15,84,33
2014-06-22,78,40
2014-06-29,69,41
2014-07-06,69,41
2014-07-13,61,41
2014-07-20,52,39
2014-07-27,51,44
2014-08-03,48,45
2014-08-10,41,46
2014-08-17,51,43
2014-08-24,46,47
2014-08-31,62,48
2014-09-07,56,41
2014-09-14,66,39
2014-09-21,66,37
2014-09-28,72,41
2014-10-05,79,34
2014-10-12,71,36
2014-10-19,64,36
2014-10-26,74,39
2014-11-02,72,38
2014-11-09,76,36
2014-11-16,67,35
2014-11-23,66,31
2014-11-30,63,32
2014-12-07,74,38
2014-12-14,65,36
2014-12-21,58,38
2014-12-28,73,42
