Category: All categories

Week,Used car: (Portugal)
2011-01-02,100
2011-01-09,87
2011-01-16,84
2011-01-23,81
2011-01-30,86
2011-02-06,82
2011-02-13,93
2011-02-20,86
2011-02-27,91
2011-03-06,80
2011-03-13,80
2011-03-20,82
2011-03-27,72
2011-04-03,72
2011-04-10,68
2011-04-17,83
2011-04-24,74
2011-05-01,79
2011-05-08,62
2011-05-15,69
2011-05-22,66
2011-05-29,59
2011-06-05,74
2011-06-12,67
2011-06-19,82
2011-06-26,71
2011-07-03,69
2011-07-10,67
2011-07-17,70
2011-07-24,72
2011-07-31,74
2011-08-07,66
2011-08-14,78
2011-08-21,95
2011-08-28,85
2011-09-04,76
2011-09-11,84
2011-09-18,84
2011-09-25,77
2011-10-02,81
2011-10-09,77
2011-10-16,71
2011-10-23,67
2011-10-30,78
2011-11-06,74
2011-11-13,67
2011-11-20,76
2011-11-27,63
2011-12-04,67
2011-12-11,61
2011-12-18,55
2011-12-25,66
2012-01-01,74
2012-01-08,71
2012-01-15,75
2012-01-22,70
2012-01-29,72
2012-02-05,69
2012-02-12,71
2012-02-19,73
2012-02-26,68
2012-03-04,64
2012-03-11,66
2012-03-18,71
2012-03-25,60
2012-04-01,62
2012-04-08,72
2012-04-15,69
2012-04-22,67
2012-04-29,64
2012-05-06,69
2012-05-13,62
2012-05-20,67
2012-05-27,59
2012-06-03,64
2012-06-10,61
2012-06-17,55
2012-06-24,64
2012-07-01,70
2012-07-08,65
2012-07-15,63
2012-07-22,62
2012-07-29,64
2012-08-05,60
2012-08-12,68
2012-08-19,72
2012-08-26,71
2012-09-02,60
2012-09-09,57
2012-09-16,61
2012-09-23,60
2012-09-30,64
2012-10-07,63
2012-10-14,56
2012-10-21,60
2012-10-28,62
2012-11-04,58
2012-11-11,55
2012-11-18,49
2012-11-25,53
2012-12-02,46
2012-12-09,49
2012-12-16,43
2012-12-23,52
2012-12-30,58
